representation,T,batch_size,learning_rate,hidden,dropout,tau,weight_decay,parameters,accuracy,macro_precision,macro_recall,macro_f1,loss,samples,best_epoch,near_peak_epoch,train_accuracy_at_best,generalization_gap,final_test_accuracy,peak_to_final_drop,last10_test_std,total_epoch_time_seconds,mean_epoch_time_seconds,metrics_path
raw,40,128,0.01,256,0.3,2.0,0.001,73230,0.6882895186070331,0.6983012598111046,0.6875481440753816,0.6897927651975332,0.9488880482633814,8787,70,48,0.7439318347441,0.05564231613706683,0.6858996244452031,0.0023898941618299974,0.0008351264280849971,960.7153123933822,9.607153123933822,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.3_TAU2.0_WD0.001/metrics.json
raw,40,128,0.01,320,0.1,2.0,0.0001,112014,0.6639353590531467,0.6669544357029137,0.6663596316207074,0.6658423999330938,1.1509025618493307,8787,87,36,0.9443354448119289,0.28040008575878217,0.66177307385911,0.002162285194036717,0.001229983783400397,943.7594693824649,9.437594693824648,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN320_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,40,128,0.01,256,0.3,2.0,0.0001,73230,0.6630249231819734,0.6689340075784193,0.6646535373188205,0.6654581589678729,1.0967809908304846,8787,86,44,0.9075060261225405,0.24448110294056713,0.6584727438261068,0.0045521793558666035,0.0011970587269652792,944.590847151354,9.44590847151354,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.3_TAU2.0_WD0.0001/metrics.json
raw,40,128,0.01,256,0.1,2.0,0.0001,73230,0.6609764424718334,0.6671501129126648,0.662036354533443,0.6617996861076129,1.109006658489826,8787,78,45,0.8993777678120971,0.2384013253402637,0.6588141572777968,0.002162285194036606,0.0010948914051035132,950.6220216155052,9.506220216155052,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,40,128,0.01,128,0.1,2.0,0.0001,20238,0.6453852281779903,0.6544225746345407,0.6467566163007621,0.6475924847802044,1.0514109828196194,8787,93,55,0.7571052189024049,0.11171999072441463,0.6433367474678502,0.002048480710140077,0.0007924748086288446,974.7215787619352,9.747215787619352,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN128_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,80,512,0.01,256,0.1,2.0,0.0001,73230,0.6161374758165472,0.6242865060569484,0.6160965635398361,0.6179285672620766,1.1391754376138046,8787,56,39,0.8004933011940131,0.18435582537746587,0.6105610561056105,0.0055764197109366975,0.0006585927527588813,39.65617469698191,0.39656174696981905,outputs/raw_ninapro_snn/T_80/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN256_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,120,512,0.01,256,0.1,2.0,0.0001,73230,0.6147718220097872,0.6249088988034389,0.6144176677686729,0.6174295647652266,1.1573280307556617,8787,82,34,0.8442737821626772,0.22950196015289004,0.6118129054284739,0.002958916581313309,0.0007411284923257081,36.15994210913777,0.3615994210913777,outputs/raw_ninapro_snn/T_120/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN256_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,120,512,0.01,128,0.1,2.0,0.0001,20238,0.5913280983270741,0.6111878476394866,0.5919178647155584,0.5947755693288523,1.2025224141487425,8787,85,59,0.6906216716183643,0.09929357329129018,0.5868897234551042,0.004438374871969963,0.0006526664827103521,37.80967939272523,0.3780967939272523,outputs/raw_ninapro_snn/T_120/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN128_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,80,512,0.01,128,0.1,2.0,0.0001,20238,0.5899624445203141,0.6080833915949079,0.588827431221592,0.5931836388579791,1.1942298014823034,8787,78,48,0.686977969617131,0.09701552509681688,0.5876863548423807,0.0022760896779333573,0.0006736610259223269,26.36624664440751,0.2636624664440751,outputs/raw_ninapro_snn/T_80/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN128_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,40,128,0.01,64,0.1,2.0,0.0001,6030,0.5896210310686241,0.6116823459927531,0.5903984091396387,0.595343346602231,1.1925797582391695,8787,80,51,0.6110768540837491,0.021455823015125053,0.5868897234551042,0.0027313076135199177,0.001040860065246338,996.3154029902071,9.963154029902071,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN64_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,40,128,0.01,256,0.0,2.0,0.0001,73230,0.5878001593262775,0.5909506198191949,0.5923350801135929,0.5895510547192642,1.5558660797485655,8787,47,18,0.974830427714558,0.3870302683882805,0.5782405826789575,0.00955957664731999,0.0009782552940863448,965.5822973288596,9.655822973288595,outputs/raw_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.0_TAU2.0_WD0.0001/metrics.json
spike,40,128,0.01,256,0.1,2.0,0.0001,73230,0.5505860930920679,0.5551006527440837,0.553584216233583,0.5535968292580865,1.3678301220476337,8787,93,46,0.7115309154100566,0.1609448223179888,0.5478547854785478,0.0027313076135200287,0.0010002501326531797,940.2417542561889,9.402417542561889,outputs/spike_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,80,512,0.01,64,0.1,2.0,0.0001,6030,0.5380675998634347,0.5642997814332354,0.5378697706651021,0.5447554974845815,1.3276844521736657,8787,67,43,0.5598407982510231,0.0217731983875884,0.5354500967338113,0.0026175031296233886,0.0008014938824016885,36.9922196008265,0.36992219600826504,outputs/raw_ninapro_snn/T_80/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN64_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
raw,120,512,0.01,64,0.1,2.0,0.0001,6030,0.5349948787982246,0.5504984142117973,0.53651501037382,0.5395506680966721,1.3308667545095028,8787,67,41,0.5621391333594933,0.027144254561268677,0.530784112894048,0.004210765904176572,0.0009047993267463858,36.9531065300107,0.369531065300107,outputs/raw_ninapro_snn/T_120/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN64_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
spike,40,128,0.01,128,0.1,2.0,0.0001,20238,0.533515420507568,0.5401580393855513,0.5362472482990742,0.5365840220326498,1.3619698916765506,8787,88,58,0.5953809070015136,0.06186548649394563,0.528394218732218,0.005121201775349915,0.0013450611602919913,922.6456952691078,9.226456952691079,outputs/spike_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN128_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
spike,40,128,0.01,256,0.0,2.0,0.0001,73230,0.5217935586662115,0.5419807799483042,0.5237819105561962,0.5228340770703258,1.47803524345129,8787,43,26,0.7151746174112898,0.19338105874507838,0.5076818026630249,0.014111756003186593,0.0015627307516806114,930.4261234588921,9.304261234588921,outputs/spike_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN256_DROPOUT0.0_TAU2.0_WD0.0001/metrics.json
spike,40,128,0.01,64,0.1,2.0,0.0001,6030,0.4837828610447252,0.5021775028926977,0.48832078298837284,0.48991048198179127,1.5056404758262134,8787,67,58,0.5018218510006166,0.018038989955891427,0.47854785478547857,0.005235006259246611,0.0006774952118419147,953.3588802777231,9.533588802777231,outputs/spike_ninapro_snn/T_40/DropoutPLIFSNN_BATCH_SIZE128_LR0.01_HIDDEN64_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
spike,80,512,0.01,256,0.1,2.0,0.0001,73230,0.4684192557186753,0.4768973484162065,0.47318454463806736,0.4727611314980194,1.5313272403479572,8787,98,62,0.5380346431974886,0.0696153874788133,0.46796403778308865,0.00045521793558667145,0.0015007096574309723,38.64784671738744,0.38647846717387435,outputs/spike_ninapro_snn/T_80/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN256_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
spike,80,512,0.01,128,0.1,2.0,0.0001,20238,0.4367816091954023,0.4485401727849519,0.44285204425300995,0.44249905699839953,1.6116916547527598,8787,89,65,0.46605751443466564,0.029275905239263322,0.43496073745305563,0.0018208717423466858,0.0009662664184421252,33.02646313607693,0.3302646313607693,outputs/spike_ninapro_snn/T_80/DropoutPLIFSNN_BATCH_SIZE512_LR0.01_HIDDEN128_DROPOUT0.1_TAU2.0_WD0.0001/metrics.json
