subject,label,raw_label,action_name_zh,global_window_index,order_within_action,repetition,source_start_sample,channel,spike_index,spike_time_seconds
1,0,1,食指屈曲,0,1,1,1323,1,1,0.053270496
1,0,1,食指屈曲,0,1,1,1323,1,2,0.076481331
1,0,1,食指屈曲,0,1,1,1323,1,3,0.088335568
1,0,1,食指屈曲,0,1,1,1323,1,4,0.099850411
1,0,1,食指屈曲,0,1,1,1323,1,5,0.113366105
1,0,1,食指屈曲,0,1,1,1323,1,6,0.127549669
1,0,1,食指屈曲,0,1,1,1323,1,7,0.140321975
1,0,1,食指屈曲,0,1,1,1323,1,8,0.149660324
1,0,1,食指屈曲,0,1,1,1323,1,9,0.158610816
1,0,1,食指屈曲,0,1,1,1323,1,10,0.168175578
1,0,1,食指屈曲,0,1,1,1323,1,11,0.176923402
1,0,1,食指屈曲,0,1,1,1323,1,12,0.184578704
1,0,1,食指屈曲,0,1,1,1323,1,13,0.191485213
1,0,1,食指屈曲,0,1,1,1323,1,14,0.198240096
1,0,1,食指屈曲,0,1,1,1323,2,1,0.066459016
1,0,1,食指屈曲,0,1,1,1323,2,2,0.098857777
1,0,1,食指屈曲,0,1,1,1323,2,3,0.136891537
1,0,1,食指屈曲,0,1,1,1323,2,4,0.161819830
1,0,1,食指屈曲,0,1,1,1323,2,5,0.177326661
1,0,1,食指屈曲,0,1,1,1323,2,6,0.195571508
1,0,1,食指屈曲,0,1,1,1323,3,1,0.067007960
1,0,1,食指屈曲,0,1,1,1323,3,2,0.092758896
1,0,1,食指屈曲,0,1,1,1323,3,3,0.126864609
1,0,1,食指屈曲,0,1,1,1323,3,4,0.142416385
1,0,1,食指屈曲,0,1,1,1323,3,5,0.164571717
1,0,1,食指屈曲,0,1,1,1323,3,6,0.189593240
1,0,1,食指屈曲,0,1,1,1323,4,1,0.062142925
1,0,1,食指屈曲,0,1,1,1323,4,2,0.088198149
1,0,1,食指屈曲,0,1,1,1323,4,3,0.102529748
1,0,1,食指屈曲,0,1,1,1323,4,4,0.116966685
1,0,1,食指屈曲,0,1,1,1323,4,5,0.129726696
1,0,1,食指屈曲,0,1,1,1323,4,6,0.143885706
1,0,1,食指屈曲,0,1,1,1323,4,7,0.157407873
1,0,1,食指屈曲,0,1,1,1323,4,8,0.169273707
1,0,1,食指屈曲,0,1,1,1323,4,9,0.177323364
1,0,1,食指屈曲,0,1,1,1323,4,10,0.186327096
1,0,1,食指屈曲,0,1,1,1323,4,11,0.196551372
1,0,1,食指屈曲,0,1,1,1323,5,1,0.046661060
1,0,1,食指屈曲,0,1,1,1323,5,2,0.064119666
1,0,1,食指屈曲,0,1,1,1323,5,3,0.076233611
1,0,1,食指屈曲,0,1,1,1323,5,4,0.086793192
1,0,1,食指屈曲,0,1,1,1323,5,5,0.097198788
1,0,1,食指屈曲,0,1,1,1323,5,6,0.107448861
1,0,1,食指屈曲,0,1,1,1323,5,7,0.116065095
1,0,1,食指屈曲,0,1,1,1323,5,8,0.125516693
1,0,1,食指屈曲,0,1,1,1323,5,9,0.135618480
1,0,1,食指屈曲,0,1,1,1323,5,10,0.144681619
1,0,1,食指屈曲,0,1,1,1323,5,11,0.152689540
1,0,1,食指屈曲,0,1,1,1323,5,12,0.160172880
1,0,1,食指屈曲,0,1,1,1323,5,13,0.167191058
1,0,1,食指屈曲,0,1,1,1323,5,14,0.175539113
1,0,1,食指屈曲,0,1,1,1323,5,15,0.183344772
1,0,1,食指屈曲,0,1,1,1323,5,16,0.190368757
1,0,1,食指屈曲,0,1,1,1323,5,17,0.196756553
1,0,1,食指屈曲,0,1,1,1323,6,1,0.045002958
1,0,1,食指屈曲,0,1,1,1323,6,2,0.061358116
1,0,1,食指屈曲,0,1,1,1323,6,3,0.073351964
1,0,1,食指屈曲,0,1,1,1323,6,4,0.089465023
1,0,1,食指屈曲,0,1,1,1323,6,5,0.099385139
1,0,1,食指屈曲,0,1,1,1323,6,6,0.109409486
1,0,1,食指屈曲,0,1,1,1323,6,7,0.119994453
1,0,1,食指屈曲,0,1,1,1323,6,8,0.129491036
1,0,1,食指屈曲,0,1,1,1323,6,9,0.140375826
1,0,1,食指屈曲,0,1,1,1323,6,10,0.149038059
1,0,1,食指屈曲,0,1,1,1323,6,11,0.156325594
1,0,1,食指屈曲,0,1,1,1323,6,12,0.162841873
1,0,1,食指屈曲,0,1,1,1323,6,13,0.169045908
1,0,1,食指屈曲,0,1,1,1323,6,14,0.175208459
1,0,1,食指屈曲,0,1,1,1323,6,15,0.181240787
1,0,1,食指屈曲,0,1,1,1323,6,16,0.187001023
1,0,1,食指屈曲,0,1,1,1323,6,17,0.192653980
1,0,1,食指屈曲,0,1,1,1323,6,18,0.198199264
1,0,1,食指屈曲,0,1,1,1323,7,1,0.051715542
1,0,1,食指屈曲,0,1,1,1323,7,2,0.069727374
1,0,1,食指屈曲,0,1,1,1323,7,3,0.080347327
1,0,1,食指屈曲,0,1,1,1323,7,4,0.089516138
1,0,1,食指屈曲,0,1,1,1323,7,5,0.098148830
1,0,1,食指屈曲,0,1,1,1323,7,6,0.107550402
1,0,1,食指屈曲,0,1,1,1323,7,7,0.116699112
1,0,1,食指屈曲,0,1,1,1323,7,8,0.126900709
1,0,1,食指屈曲,0,1,1,1323,7,9,0.138170921
1,0,1,食指屈曲,0,1,1,1323,7,10,0.147979813
1,0,1,食指屈曲,0,1,1,1323,7,11,0.157202505
1,0,1,食指屈曲,0,1,1,1323,7,12,0.165606255
1,0,1,食指屈曲,0,1,1,1323,7,13,0.173058412
1,0,1,食指屈曲,0,1,1,1323,7,14,0.181118638
1,0,1,食指屈曲,0,1,1,1323,7,15,0.190086642
1,0,1,食指屈曲,0,1,1,1323,7,16,0.198390511
1,0,1,食指屈曲,0,1,1,1323,8,1,0.047498970
1,0,1,食指屈曲,0,1,1,1323,8,2,0.066181089
1,0,1,食指屈曲,0,1,1,1323,8,3,0.082266515
1,0,1,食指屈曲,0,1,1,1323,8,4,0.095739317
1,0,1,食指屈曲,0,1,1,1323,8,5,0.112320941
1,0,1,食指屈曲,0,1,1,1323,8,6,0.124609522
1,0,1,食指屈曲,0,1,1,1323,8,7,0.134935015
1,0,1,食指屈曲,0,1,1,1323,8,8,0.144421545
1,0,1,食指屈曲,0,1,1,1323,8,9,0.152322824
1,0,1,食指屈曲,0,1,1,1323,8,10,0.160231595
1,0,1,食指屈曲,0,1,1,1323,8,11,0.169193916
1,0,1,食指屈曲,0,1,1,1323,8,12,0.178674343
1,0,1,食指屈曲,0,1,1,1323,8,13,0.186700881
1,0,1,食指屈曲,0,1,1,1323,8,14,0.194141410
1,0,1,食指屈曲,0,1,1,1323,9,1,0.053740047
1,0,1,食指屈曲,0,1,1,1323,9,2,0.083629784
1,0,1,食指屈曲,0,1,1,1323,9,3,0.100352975
1,0,1,食指屈曲,0,1,1,1323,9,4,0.113899256
1,0,1,食指屈曲,0,1,1,1323,9,5,0.126138526
1,0,1,食指屈曲,0,1,1,1323,9,6,0.135042343
1,0,1,食指屈曲,0,1,1,1323,9,7,0.144455288
1,0,1,食指屈曲,0,1,1,1323,9,8,0.154929602
1,0,1,食指屈曲,0,1,1,1323,9,9,0.163296765
1,0,1,食指屈曲,0,1,1,1323,9,10,0.170665552
1,0,1,食指屈曲,0,1,1,1323,9,11,0.177538278
1,0,1,食指屈曲,0,1,1,1323,9,12,0.183891273
1,0,1,食指屈曲,0,1,1,1323,9,13,0.189984950
1,0,1,食指屈曲,0,1,1,1323,9,14,0.196977873
