global_window_index,label,raw_label,action_name_zh,order_within_action,repetition,source_start_sample,total_spikes,active_channel_count,mean_spikes_per_channel,minimum_spikes_per_channel,maximum_spikes_per_channel,mean_rate_hz
0,0,1,食指屈曲,1,1,1323,211,16,13.1875,6,18,65.9375
1,0,1,食指屈曲,2,6,10388,232,16,14.5,8,18,72.5
2,1,2,食指伸展,1,1,11944,273,16,17.0625,9,23,85.3125
3,1,2,食指伸展,2,4,17195,254,16,15.875,6,21,79.375
4,2,3,中指屈曲,1,3,26738,191,16,11.9375,5,18,59.6875
5,2,3,中指屈曲,2,6,32023,229,16,14.3125,9,19,71.5625
6,3,4,中指伸展,1,4,39344,166,16,10.375,3,18,51.875
7,3,4,中指伸展,2,6,42667,170,16,10.625,4,17,53.125
8,4,5,无名指屈曲,1,3,47771,237,16,14.8125,9,22,74.0625
9,4,5,无名指屈曲,2,6,53149,261,16,16.3125,9,19,81.5625
10,5,6,无名指伸展,1,3,58575,136,16,8.5,2,17,42.5
11,5,6,无名指伸展,2,6,63927,165,16,10.3125,3,16,51.5625
12,6,7,小指屈曲,1,1,65883,175,16,10.9375,2,17,54.6875
13,6,7,小指屈曲,2,3,69114,266,16,16.625,13,22,83.125
14,7,8,小指伸展,1,1,75901,127,16,7.9375,2,14,39.6875
15,7,8,小指伸展,2,6,85317,185,16,11.5625,7,16,57.8125
16,8,9,拇指内收,1,1,86968,225,16,14.0625,8,23,70.3125
17,8,9,拇指内收,2,6,95731,236,16,14.75,10,21,73.75
18,9,10,拇指外展,1,3,101960,199,16,12.4375,1,19,62.1875
19,9,10,拇指外展,2,4,104018,192,16,12.0,2,21,60.0
20,10,11,拇指屈曲,1,1,109547,157,16,9.8125,5,14,49.0625
21,10,11,拇指屈曲,2,4,115074,135,16,8.4375,2,16,42.1875
22,11,12,拇指伸展,1,1,120664,249,16,15.5625,9,20,77.8125
23,11,12,拇指伸展,2,4,126031,179,16,11.1875,3,19,55.9375
