split,channel,channel_name,sample_count,min,max,range,mean,std,p0.1,p1,q1,median,q3,p99,p99.9
overall,1,CH01,553634,-128.000000,127.000000,255.000000,-1.004664,18.979572,-102.000000,-59.000000,-8.000000,-1.000000,5.000000,61.000000,103.000000
overall,2,CH02,553634,-128.000000,127.000000,255.000000,-1.331885,24.030514,-128.000000,-79.000000,-9.000000,-1.000000,6.000000,79.000000,121.000000
overall,3,CH03,553634,-115.000000,124.000000,239.000000,-0.899798,7.897535,-48.000000,-23.000000,-4.000000,-1.000000,2.000000,25.000000,55.000000
overall,4,CH04,553634,-128.000000,127.000000,255.000000,-0.873469,4.696710,-29.000000,-13.000000,-3.000000,-1.000000,1.000000,12.000000,30.000000
overall,5,CH05,553634,-128.000000,126.000000,254.000000,-0.844854,8.111967,-51.000000,-25.000000,-3.000000,-1.000000,1.000000,25.000000,56.000000
overall,6,CH06,553634,-128.000000,127.000000,255.000000,-0.861016,13.704207,-90.000000,-44.000000,-4.000000,-1.000000,2.000000,45.000000,93.000000
overall,7,CH07,553634,-128.000000,127.000000,255.000000,-0.854080,12.240860,-73.000000,-38.000000,-5.000000,-1.000000,3.000000,40.000000,78.000000
overall,8,CH08,553634,-128.000000,127.000000,255.000000,-0.860392,11.675087,-65.000000,-34.000000,-6.000000,-1.000000,4.000000,35.000000,67.000000
overall,9,CH09,553634,-128.000000,127.000000,255.000000,-1.293147,24.185927,-118.000000,-75.000000,-11.000000,-1.000000,8.000000,75.000000,114.000000
overall,10,CH10,553634,-128.000000,127.000000,255.000000,-1.148667,18.779817,-109.000000,-60.000000,-8.000000,-1.000000,5.000000,60.000000,109.000000
overall,11,CH11,553634,-113.000000,111.000000,224.000000,-1.040007,6.247982,-38.000000,-19.000000,-3.000000,-1.000000,1.000000,18.000000,38.000000
overall,12,CH12,553634,-106.000000,98.000000,204.000000,-0.972032,5.878481,-37.000000,-19.000000,-3.000000,-1.000000,1.000000,16.000000,32.000000
overall,13,CH13,553634,-128.000000,127.000000,255.000000,-0.964749,13.573193,-95.000000,-47.000000,-4.000000,-1.000000,2.000000,43.000000,92.000000
overall,14,CH14,553634,-128.000000,127.000000,255.000000,-1.010581,13.922705,-98.000000,-45.000000,-4.000000,-1.000000,2.000000,45.000000,97.000000
overall,15,CH15,553634,-128.000000,127.000000,255.000000,-1.005276,9.643000,-58.000000,-29.000000,-4.000000,-1.000000,2.000000,28.000000,61.367000
overall,16,CH16,553634,-128.000000,127.000000,255.000000,-1.032679,15.884194,-93.000000,-49.000000,-7.000000,-1.000000,4.000000,49.000000,91.000000
train,1,CH01,370986,-128.000000,127.000000,255.000000,-0.999674,18.840509,-101.015000,-58.000000,-8.000000,-1.000000,5.000000,60.000000,102.000000
train,2,CH02,370986,-128.000000,127.000000,255.000000,-1.333403,23.959639,-128.000000,-79.000000,-9.000000,-1.000000,6.000000,79.000000,121.000000
train,3,CH03,370986,-113.000000,124.000000,237.000000,-0.900161,7.879924,-48.000000,-23.000000,-4.000000,-1.000000,2.000000,25.000000,56.000000
train,4,CH04,370986,-128.000000,127.000000,255.000000,-0.871917,4.746171,-30.000000,-13.000000,-3.000000,-1.000000,1.000000,12.000000,31.000000
train,5,CH05,370986,-128.000000,126.000000,254.000000,-0.845280,8.212145,-53.000000,-26.000000,-3.000000,-1.000000,1.000000,25.000000,57.000000
train,6,CH06,370986,-128.000000,127.000000,255.000000,-0.861197,13.729528,-91.000000,-44.000000,-4.000000,-1.000000,2.000000,45.000000,94.000000
train,7,CH07,370986,-128.000000,127.000000,255.000000,-0.854827,12.109789,-72.000000,-37.000000,-5.000000,-1.000000,3.000000,39.000000,78.000000
train,8,CH08,370986,-128.000000,123.000000,251.000000,-0.858933,11.579791,-65.000000,-34.000000,-5.000000,-1.000000,4.000000,35.000000,66.000000
train,9,CH09,370986,-128.000000,127.000000,255.000000,-1.288413,24.131818,-118.015000,-75.000000,-10.000000,-1.000000,8.000000,75.000000,114.000000
train,10,CH10,370986,-128.000000,127.000000,255.000000,-1.143968,18.647968,-109.000000,-60.000000,-8.000000,-1.000000,5.000000,59.000000,108.000000
train,11,CH11,370986,-109.000000,101.000000,210.000000,-1.039764,6.205274,-38.000000,-19.000000,-3.000000,-1.000000,1.000000,18.000000,37.000000
train,12,CH12,370986,-106.000000,93.000000,199.000000,-0.972101,5.900205,-37.000000,-19.000000,-3.000000,-1.000000,1.000000,16.000000,32.000000
train,13,CH13,370986,-128.000000,127.000000,255.000000,-0.963430,13.681710,-96.000000,-48.000000,-4.000000,-1.000000,2.000000,43.000000,93.000000
train,14,CH14,370986,-128.000000,127.000000,255.000000,-1.009267,13.827790,-98.000000,-45.000000,-4.000000,-1.000000,2.000000,45.000000,98.000000
train,15,CH15,370986,-128.000000,127.000000,255.000000,-1.005116,9.574385,-59.000000,-29.000000,-4.000000,-1.000000,2.000000,28.000000,61.000000
train,16,CH16,370986,-128.000000,127.000000,255.000000,-1.030772,15.741584,-91.000000,-49.000000,-7.000000,-1.000000,4.000000,48.000000,90.000000
test,1,CH01,182648,-128.000000,127.000000,255.000000,-1.014799,19.258934,-103.000000,-59.000000,-8.000000,-1.000000,5.000000,61.000000,106.000000
test,2,CH02,182648,-128.000000,127.000000,255.000000,-1.328802,24.173831,-128.000000,-78.000000,-9.000000,-1.000000,6.000000,80.000000,121.000000
test,3,CH03,182648,-115.000000,114.000000,229.000000,-0.899063,7.933184,-47.000000,-24.000000,-4.000000,-1.000000,2.000000,25.000000,54.000000
test,4,CH04,182648,-117.000000,114.000000,231.000000,-0.876621,4.594607,-28.353000,-13.000000,-3.000000,-1.000000,1.000000,12.000000,29.000000
