split,channel,channel_name,sample_count,min,max,range,mean,std,p0.1,p1,q1,median,q3,p99,p99.9
overall,1,CH01,553634,-128.000000,127.000000,255.000000,-1.004664,18.979572,-102.000000,-59.000000,-8.000000,-1.000000,5.000000,61.000000,103.000000
overall,2,CH02,553634,-128.000000,127.000000,255.000000,-1.331885,24.030514,-128.000000,-79.000000,-9.000000,-1.000000,6.000000,79.000000,121.000000
overall,3,CH03,553634,-115.000000,124.000000,239.000000,-0.899798,7.897535,-48.000000,-23.000000,-4.000000,-1.000000,2.000000,25.000000,55.000000
overall,4,CH04,553634,-128.000000,127.000000,255.000000,-0.873469,4.696710,-29.000000,-13.000000,-3.000000,-1.000000,1.000000,12.000000,30.000000
overall,5,CH05,553634,-128.000000,126.000000,254.000000,-0.844854,8.111967,-51.000000,-25.000000,-3.000000,-1.000000,1.000000,25.000000,56.000000
overall,6,CH06,553634,-128.000000,127.000000,255.000000,-0.861016,13.704207,-90.000000,-44.000000,-4.000000,-1.000000,2.000000,45.000000,93.000000
overall,7,CH07,553634,-128.000000,127.000000,255.000000,-0.854080,12.240860,-73.000000,-38.000000,-5.000000,-1.000000,3.000000,40.000000,78.000000
overall,8,CH08,553634,-128.000000,127.000000,255.000000,-0.860392,11.675087,-65.000000,-34.000000,-6.000000,-1.000000,4.000000,35.000000,67.000000
overall,9,CH09,553634,-128.000000,127.000000,255.000000,-1.293147,24.185927,-118.000000,-75.000000,-11.000000,-1.000000,8.000000,75.000000,114.000000
overall,10,CH10,553634,-128.000000,127.000000,255.000000,-1.148667,18.779817,-109.000000,-60.000000,-8.000000,-1.000000,5.000000,60.000000,109.000000
overall,11,CH11,553634,-113.000000,111.000000,224.000000,-1.040007,6.247982,-38.000000,-19.000000,-3.000000,-1.000000,1.000000,18.000000,38.000000
overall,12,CH12,553634,-106.000000,98.000000,204.000000,-0.972032,5.878481,-37.000000,-19.000000,-3.000000,-1.000000,1.000000,16.000000,32.000000
overall,13,CH13,553634,-128.000000,127.000000,255.000000,-0.964749,13.573193,-95.000000,-47.000000,-4.000000,-1.000000,2.000000,43.000000,92.000000
overall,14,CH14,553634,-128.000000,127.000000,255.000000,-1.010581,13.922705,-98.000000,-45.000000,-4.000000,-1.000000,2.000000,45.000000,97.000000
overall,15,CH15,553634,-128.000000,127.000000,255.000000,-1.005276,9.643000,-58.000000,-29.000000,-4.000000,-1.000000,2.000000,28.000000,61.367000
overall,16,CH16,553634,-128.000000,127.000000,255.000000,-1.032679,15.884194,-93.000000,-49.000000,-7.000000,-1.000000,4.000000,49.000000,91.000000
